SessionNumber,GP,Driver,PitInTime,PitOutTime,Duration,PitOrder
1,Bahre誰n,VER,0 days 01:06:55.220000,0 days 01:07:20.122000,24.902,1er
1,Bahre誰n,VER,0 days 01:42:13.427000,0 days 01:42:37.245000,23.818,2eme
1,Bahre誰n,HAM,0 days 01:00:29.611000,0 days 01:00:54.547000,24.936,1er
1,Bahre誰n,HAM,0 days 01:24:41.240000,0 days 01:25:05.375000,24.135,2eme
2,Emilia Romagna,VER,0 days 01:18:00.076000,0 days 01:18:30.619000,30.543,1er
2,Emilia Romagna,HAM,0 days 01:19:27.715000,0 days 01:19:59.824000,32.109,1er
2,Emilia Romagna,HAM,0 days 01:25:31.176000,0 days 01:26:09.343000,38.167,2eme
2,Emilia Romagna,HAM,0 days 01:54:48.723000,0 days 01:55:54.564000,65.841,3eme
3,Portugal,VER,0 days 00:36:14.988000,0 days 00:36:37.779000,22.791,1er
3,Portugal,VER,0 days 00:38:37.831000,0 days 00:38:59.938000,22.107,2eme
3,Portugal,VER,0 days 01:25:07.357000,0 days 01:25:34.135000,26.778,3eme
3,Portugal,VER,0 days 02:04:55.846000,0 days 02:05:22.174000,26.328,4eme
3,Portugal,HAM,0 days 00:36:13.985000,0 days 00:36:36.400000,22.415,1er
3,Portugal,HAM,0 days 00:38:36.661000,0 days 00:38:58.790000,22.129,2eme
3,Portugal,HAM,0 days 01:27:46.497000,0 days 01:28:13.359000,26.862,3eme
4,Espagne,VER,0 days 01:08:32.892000,0 days 01:08:56.552000,23.66,1er
4,Espagne,VER,0 days 01:58:18.814000,0 days 01:58:40.405000,21.591,2eme
4,Espagne,HAM,0 days 01:14:07.343000,0 days 01:14:29.546000,22.203,1er
4,Espagne,HAM,0 days 01:33:33.250000,0 days 01:33:55.307000,22.057,2eme
